Sanidad,w.length,promedio
Enfermas,581.211,6.657476636
Enfermas,581.684,6.614252336
Enfermas,582.157,6.571542056
Enfermas,582.631,6.530093458
Enfermas,583.104,6.490794393
Enfermas,583.577,6.452663551
Enfermas,584.051,6.415093458
Enfermas,584.524,6.378130841
Enfermas,584.998,6.342850467
Enfermas,585.471,6.308317757
Enfermas,585.945,6.274953271
Enfermas,586.418,6.242663551
Enfermas,586.892,6.211635514
Enfermas,587.366,6.181401869
Enfermas,587.839,6.150327103
Enfermas,588.313,6.121962617
Enfermas,588.787,6.093925234
Enfermas,589.261,6.065514019
Enfermas,589.734,6.039252336
Enfermas,590.208,6.013364486
Enfermas,590.682,5.987056075
Enfermas,591.156,5.962429907
Enfermas,591.63,5.937009346
Enfermas,592.104,5.913084112
Enfermas,592.578,5.890373832
Enfermas,593.052,5.868691589
Enfermas,593.526,5.846869159
Enfermas,594,5.824859813
Enfermas,594.475,5.803037383
Enfermas,594.949,5.78317757
Enfermas,595.423,5.761869159
Enfermas,595.898,5.741869159
Enfermas,596.372,5.72182243
Enfermas,596.846,5.70182243
Enfermas,597.321,5.681728972
Enfermas,597.795,5.662056075
Enfermas,598.27,5.644439252
Enfermas,598.744,5.626635514
Enfermas,599.219,5.608271028
Enfermas,599.693,5.590607477
Enfermas,600.168,5.57182243
Enfermas,600.643,5.554719626
Enfermas,601.117,5.536962617
Enfermas,601.592,5.519205607
Enfermas,602.067,5.502149533
Enfermas,602.542,5.48411215
Enfermas,603.017,5.467429907
Enfermas,603.492,5.449672897
Enfermas,603.966,5.431728972
Enfermas,604.441,5.412102804
Enfermas,604.916,5.39317757
Enfermas,605.392,5.374485981
Enfermas,605.867,5.354766355
Enfermas,606.342,5.334579439
Enfermas,606.817,5.315046729
Enfermas,607.292,5.296308411
Enfermas,607.767,5.274953271
Enfermas,608.243,5.254953271
Enfermas,608.718,5.234813084
Enfermas,609.193,5.214813084
Enfermas,609.669,5.192616822
Enfermas,610.144,5.171261682
Enfermas,610.62,5.149485981
Enfermas,611.095,5.127570093
Enfermas,611.571,5.104719626
Enfermas,612.046,5.081168224
Enfermas,612.522,5.059018692
Enfermas,612.997,5.03453271
Enfermas,613.473,5.011682243
Enfermas,613.949,4.988831776
Enfermas,614.425,4.965093458
Enfermas,614.9,4.943317757
Enfermas,615.376,4.920186916
Enfermas,615.852,4.898691589
Enfermas,616.328,4.876869159
Enfermas,616.804,4.856869159
Enfermas,617.28,4.836542056
Enfermas,617.756,4.815373832
