Sanidad,sub,w.length,prom
HLB+,9,787.285,65.9275
HLB+,9,787.775,65.9425
HLB+,9,788.265,65.955
HLB+,9,788.756,65.96875
HLB+,9,789.246,65.98375
HLB+,9,789.736,65.99625
HLB+,9,790.227,66.01375
HLB+,9,790.717,66.02625
HLB+,9,791.208,66.04
HLB+,9,791.699,66.05375
HLB+,9,792.189,66.0675
HLB+,9,792.68,66.07875
HLB+,9,793.171,66.08875
HLB+,9,793.662,66.09875
HLB+,9,794.152,66.11125
HLB+,9,794.643,66.1225
HLB+,9,795.134,66.1325
HLB+,9,795.625,66.13875
HLB+,9,796.116,66.15
HLB+,9,796.607,66.15875
HLB+,9,797.098,66.16875
HLB+,9,797.59,66.1825
HLB+,9,798.081,66.195
HLB+,9,798.572,66.20375
HLB+,9,799.063,66.215
HLB+,9,799.555,66.22375
HLB+,9,800.046,66.23375
HLB+,9,800.537,66.23375
HLB+,10,780.425,59.675
HLB+,10,780.915,59.67875
HLB+,10,781.405,59.68625
HLB+,10,781.894,59.69375
HLB+,10,782.384,59.6975
HLB+,10,782.874,59.7025
HLB+,10,783.364,59.70875
HLB+,10,783.854,59.7125
HLB+,10,784.344,59.71625
HLB+,10,784.834,59.7225
HLB+,10,785.324,59.725
HLB+,10,785.814,59.73
HLB+,10,786.304,59.73625
HLB+,10,786.794,59.73875
HLB+,10,787.285,59.7425
HLB+,10,787.775,59.7475
HLB+,10,788.265,59.74875
HLB+,10,788.756,59.75375
HLB+,10,789.246,59.75625
HLB+,10,789.736,59.76
HLB+,10,790.227,59.76625
HLB+,10,790.717,59.7675
HLB+,10,791.208,59.77
HLB+,10,791.699,59.775
HLB+,10,792.189,59.7775
HLB+,10,792.68,59.78
HLB+,10,793.171,59.78625
HLB+,10,793.662,59.78625
HLB+,10,794.152,59.79125
HLB+,10,794.643,59.79125
HLB+,10,795.134,59.79375
HLB+,10,795.625,59.7975
HLB+,10,796.116,59.8
HLB+,10,796.607,59.80125
HLB+,10,797.098,59.805
HLB+,10,797.59,59.80625
HLB+,10,798.081,59.80875
HLB+,10,798.572,59.8125
HLB+,10,799.063,59.8125
HLB+,10,799.555,59.815
HLB+,10,800.046,59.8175
HLB+,10,800.537,59.82125
HLB+,11,780.425,67.10625
HLB+,11,780.915,67.12125
HLB+,11,781.405,67.1325
HLB+,11,781.894,67.14625
HLB+,11,782.384,67.16375
HLB+,11,782.874,67.1775
HLB+,11,783.364,67.19375
HLB+,11,783.854,67.20375
HLB+,11,784.344,67.2175
HLB+,11,784.834,67.2325
HLB+,11,785.324,67.2425
HLB+,11,785.814,67.25875
HLB+,11,786.304,67.27
HLB+,11,786.794,67.285
HLB+,11,787.285,67.30125
HLB+,11,787.775,67.31
HLB+,11,788.265,67.3225
HLB+,11,788.756,67.335
HLB+,11,789.246,67.3475
HLB+,11,789.736,67.3575
HLB+,11,790.227,67.37125
HLB+,11,790.717,67.38375
HLB+,11,791.208,67.395
HLB+,11,791.699,67.4075
HLB+,11,792.189,67.4175
HLB+,11,792.68,67.4275
HLB+,11,793.171,67.4375
HLB+,11,793.662,67.4475
HLB+,11,794.152,67.4575
HLB+,11,794.643,67.4675
HLB+,11,795.134,67.47625
HLB+,11,795.625,67.4875
HLB+,11,796.116,67.495
HLB+,11,796.607,67.505
HLB+,11,797.098,67.51375
HLB+,11,797.59,67.52
HLB+,11,798.081,67.53125
HLB+,11,798.572,67.53875
HLB+,11,799.063,67.5475
HLB+,11,799.555,67.55375
HLB+,11,800.046,67.56375
HLB+,11,800.537,67.56875
HLB+,12,780.425,65.29375
HLB+,12,780.915,65.31125
HLB+,12,781.405,65.32375
HLB+,12,781.894,65.34
HLB+,12,782.384,65.355
HLB+,12,782.874,65.37125
HLB+,12,783.364,65.3875
HLB+,12,783.854,65.40125
HLB+,12,784.344,65.4175
HLB+,12,784.834,65.43375
HLB+,12,785.324,65.4475
HLB+,12,785.814,65.46375
HLB+,12,786.304,65.47625
HLB+,12,786.794,65.4925
HLB+,12,787.285,65.5125
HLB+,12,787.775,65.52625
HLB+,12,788.265,65.54125
HLB+,12,788.756,65.55375
HLB+,12,789.246,65.56625
HLB+,12,789.736,65.585
HLB+,12,790.227,65.59875
HLB+,12,790.717,65.6125
HLB+,12,791.208,65.6275
HLB+,12,791.699,65.6425
HLB+,12,792.189,65.65625
HLB+,12,792.68,65.66875
HLB+,12,793.171,65.68125
HLB+,12,793.662,65.69125
HLB+,12,794.152,65.70125
HLB+,12,794.643,65.71375
HLB+,12,795.134,65.725
HLB+,12,795.625,65.735
HLB+,12,796.116,65.745
HLB+,12,796.607,65.75625
HLB+,12,797.098,65.76375
HLB+,12,797.59,65.775
HLB+,12,798.081,65.78625
HLB+,12,798.572,65.80125
HLB+,12,799.063,65.81125
HLB+,12,799.555,65.82
HLB+,12,800.046,65.82875
HLB+,12,800.537,65.84125
HLB+,13,780.425,58.565
HLB+,13,780.915,58.56875
HLB+,13,781.405,58.5725
HLB+,13,781.894,58.5775
HLB+,13,782.384,58.58125
HLB+,13,782.874,58.58625
